AccountID,CustomerID,AccountType,OpenDate,ClosedDate,Status,RegistrationID,Balance
1,1,Credit,2023-10-31,2024-10-03,Closed,3,-2781.87
2,2,Checking,2023-11-08,,Open,1,23903.23
3,3,Checking,2020-11-13,,Open,3,42851.83
4,4,Checking,2024-07-01,2024-11-15,Closed,2,41777.99
5,5,Savings,2025-05-19,,Open,2,28041.5
6,5,Checking,2021-08-14,2024-01-07,Closed,2,42042.42
7,6,Checking,2022-11-28,,Open,2,34979.76
8,7,Checking,2023-05-02,2023-06-08,Closed,1,36737.55
9,8,Credit,2023-12-05,2024-12-06,Closed,3,6122.37
10,9,Savings,2024-12-23,,Open,1,9902.01
11,10,Checking,2021-09-10,,Open,3,4903.83
12,11,Checking,2020-11-23,2021-08-03,Closed,3,46007.63
13,11,Credit,2025-05-10,,Open,2,-1539.24
14,11,Savings,2023-07-01,2024-04-06,Closed,1,29261.4
15,12,Savings,2020-07-30,2021-03-02,Closed,3,5750.62
16,12,Savings,2022-03-01,2025-03-19,Closed,1,37621.92
17,13,Checking,2021-06-26,2024-05-03,Closed,3,12823.98
18,14,Savings,2025-02-20,,Open,2,5231.48
19,15,Checking,2024-07-19,,Open,3,5237.31
20,15,Checking,2020-11-27,,Open,3,28195.21
21,16,Checking,2023-03-21,2023-04-29,Closed,2,33965.92
22,16,Checking,2023-03-22,2024-11-20,Closed,1,31753.24
23,16,Credit,2021-08-10,,Open,3,-9805.91
24,17,Checking,2022-11-18,2024-08-10,Closed,1,1773.41
25,17,Checking,2021-10-01,,Open,3,42116.67
26,17,Checking,2021-10-18,2023-07-07,Closed,1,3317.96
27,18,Savings,2023-02-23,,Open,1,11254.53
28,18,Checking,2024-11-22,,Open,2,37944.94
29,18,Checking,2021-01-18,,Open,3,40032.27
30,19,Checking,2021-12-05,2022-06-17,Closed,3,45054.52
31,19,Savings,2021-09-06,,Open,3,33928.57
32,20,Savings,2024-08-19,2025-05-19,Closed,1,45289.04
33,20,Checking,2020-12-09,2025-05-11,Closed,2,41284.83
34,20,Checking,2020-11-29,,Open,1,42565.83
35,21,Savings,2025-04-06,,Open,3,15122.1
36,21,Checking,2023-11-02,2024-03-20,Closed,2,3281.04
37,21,Checking,2023-06-22,2025-03-04,Closed,2,19207.99
38,22,Savings,2021-03-31,,Open,3,11947.59
39,23,Savings,2021-03-24,,Open,1,24066.52
40,23,Checking,2025-04-21,,Open,1,33677.19
41,24,Checking,2022-01-09,,Open,2,30588.54
42,24,Checking,2022-10-20,,Open,1,5074.03
43,25,Savings,2022-04-04,,Open,1,31498.31
44,26,Credit,2022-10-05,2024-02-26,Closed,2,-6100.53
45,26,Savings,2022-09-13,,Open,2,30505.99
46,26,Credit,2022-09-30,2024-12-11,Closed,3,3009.44
47,27,Credit,2024-06-04,2024-10-02,Closed,1,5771.33
48,27,Checking,2024-05-11,2025-07-14,Closed,3,45844.37
49,27,Savings,2021-11-03,,Open,2,1909.22
50,28,Checking,2020-11-13,,Open,3,22773.51
51,28,Savings,2022-01-17,,Open,1,45096.38
52,29,Checking,2024-11-24,,Open,3,47239.16
53,29,Credit,2020-10-29,,Open,3,-5406.9
54,30,Credit,2023-03-26,2023-07-15,Closed,1,142.13
55,30,Savings,2022-03-08,2024-12-09,Closed,2,44592.11
56,30,Savings,2024-06-04,,Open,1,20782.06
57,31,Savings,2022-07-28,,Open,2,39567.14
58,31,Credit,2024-06-11,2024-10-12,Closed,2,-9397.32
59,32,Checking,2023-05-19,,Open,1,17625.15
60,32,Checking,2021-09-09,,Open,1,17272.26
61,32,Savings,2024-08-05,,Open,1,40950.33
62,33,Savings,2025-04-09,,Open,3,161.61
63,33,Credit,2021-01-10,,Open,2,4959.54
64,33,Checking,2025-03-01,,Open,1,46639.4
65,34,Savings,2021-03-30,2024-02-29,Closed,2,5619.55
66,35,Checking,2020-07-24,,Open,1,1396.81
67,35,Checking,2021-03-22,2022-02-08,Closed,2,23668.52
68,35,Checking,2024-03-06,2025-06-20,Closed,1,9202.28
69,36,Credit,2023-07-16,2024-09-30,Closed,1,-6871.94
70,37,Savings,2024-05-20,2025-02-04,Closed,1,25416.62
71,38,Checking,2023-10-04,2024-11-04,Closed,1,20989.27
72,39,Credit,2023-08-15,,Open,3,-2123.98
73,40,Savings,2021-07-21,2022-02-17,Closed,2,14969.33
74,41,Savings,2023-03-28,2023-05-02,Closed,2,14901.41
75,41,Savings,2022-02-04,,Open,2,22240.56
76,41,Credit,2021-08-09,,Open,1,-2471.36
77,42,Credit,2020-09-14,2023-07-30,Closed,2,-1174.05
78,42,Checking,2022-03-09,2022-05-16,Closed,1,4552.82
79,43,Checking,2024-01-23,,Open,3,27909.08
80,44,Credit,2021-01-25,2023-09-19,Closed,1,8565.36
81,45,Checking,2023-11-09,,Open,2,12397.88
82,45,Checking,2020-12-26,,Open,3,17768.37
83,46,Savings,2021-12-21,2023-06-29,Closed,2,37751.75
84,46,Savings,2021-03-14,2024-09-02,Closed,1,30936.78
85,46,Savings,2020-12-31,2024-09-30,Closed,3,5722.86
86,47,Credit,2023-07-24,,Open,2,-1515.82
87,47,Savings,2022-09-19,2024-01-13,Closed,1,38004.49
88,48,Checking,2025-04-30,2025-07-17,Closed,1,31603.28
89,48,Savings,2024-05-26,2025-04-11,Closed,1,44185.9
90,48,Savings,2022-01-29,2022-03-17,Closed,3,19921.43
91,49,Checking,2024-05-26,2024-12-17,Closed,2,5101.59
92,49,Checking,2022-02-28,2023-10-23,Closed,3,43564.9
93,49,Savings,2021-02-01,,Open,2,1772.55
94,50,Credit,2023-08-02,2023-10-15,Closed,1,-7636.3
95,50,Savings,2021-08-04,,Open,2,20741.52
96,51,Credit,2020-10-06,,Open,3,1479.64
97,51,Savings,2023-07-11,,Open,3,20540.23
98,52,Checking,2020-09-21,2022-03-25,Closed,2,14612.71
99,52,Credit,2023-12-23,,Open,3,-6858.6
100,52,Savings,2020-08-28,2023-05-27,Closed,2,20060.83
101,53,Credit,2024-06-04,2025-06-24,Closed,2,-2918.84
102,54,Checking,2024-08-05,,Open,3,23835.76
103,54,Credit,2021-03-23,2021-08-30,Closed,1,-145.6
104,54,Checking,2025-02-05,2025-04-24,Closed,2,7140.57
105,55,Credit,2022-10-09,,Open,2,-9489.06
106,56,Savings,2020-10-11,,Open,1,34344.78
107,56,Credit,2024-12-05,2025-01-11,Closed,1,-9871.53
108,57,Credit,2021-03-22,,Open,3,9993.7
109,58,Checking,2023-05-19,,Open,3,7033.99
110,58,Checking,2023-08-04,,Open,2,5273.01
111,58,Credit,2021-05-18,2023-05-20,Closed,2,-2317.4
112,59,Credit,2020-10-27,2022-02-18,Closed,3,-7039.61
113,59,Savings,2024-12-08,2025-03-29,Closed,1,6461.15
114,60,Checking,2020-11-08,2020-11-10,Closed,2,21364.51
115,60,Checking,2023-09-30,,Open,2,39779.17
116,61,Credit,2023-06-01,,Open,1,8116.44
117,62,Credit,2021-11-16,,Open,2,7420.19
118,63,Credit,2025-03-16,,Open,2,-5338.72
119,64,Savings,2021-10-16,2022-06-22,Closed,2,38571.53
120,64,Checking,2022-01-10,2025-05-04,Closed,3,2697.0
121,64,Credit,2021-11-22,2024-08-12,Closed,2,1619.2
122,65,Credit,2022-08-09,2025-04-05,Closed,2,-5691.61
123,65,Savings,2023-05-02,,Open,2,2627.67
124,66,Checking,2020-09-29,,Open,2,7020.35
125,67,Savings,2024-08-25,2025-04-25,Closed,1,27888.43
126,67,Checking,2023-12-05,,Open,1,16975.19
127,67,Credit,2020-12-01,,Open,2,5895.8
128,68,Checking,2022-06-20,2023-06-28,Closed,3,12774.99
129,68,Savings,2022-12-08,,Open,1,18435.21
130,68,Credit,2023-05-03,2024-01-22,Closed,1,-6244.3
131,69,Credit,2022-07-27,2024-01-24,Closed,2,-3755.36
132,69,Checking,2022-06-19,2023-02-28,Closed,3,17197.02
133,70,Savings,2024-02-14,2025-02-07,Closed,1,46709.17
134,71,Checking,2023-08-19,2025-06-29,Closed,1,36230.24
135,72,Checking,2025-05-08,2025-05-21,Closed,1,22005.43
136,72,Savings,2023-10-30,,Open,1,4936.52
137,73,Savings,2025-05-07,2025-05-08,Closed,2,30637.83
138,73,Credit,2021-12-02,2024-05-26,Closed,1,-9212.97
139,74,Checking,2020-08-03,,Open,2,6404.27
140,75,Checking,2023-11-10,2025-05-21,Closed,2,5364.27
141,75,Credit,2022-01-02,,Open,2,4221.36
142,76,Credit,2021-10-22,2021-11-21,Closed,2,723.3
143,76,Checking,2020-10-03,,Open,3,827.92
144,76,Credit,2023-04-17,,Open,2,-6548.48
145,77,Savings,2024-11-17,2024-11-18,Closed,3,43989.42
146,78,Credit,2020-11-12,2021-04-07,Closed,1,7181.92
147,79,Credit,2021-06-29,2023-12-06,Closed,3,-7635.11
148,79,Credit,2021-10-18,2025-02-08,Closed,3,-5408.75
149,80,Credit,2021-11-04,2024-09-15,Closed,1,-5568.84
150,80,Savings,2023-10-10,2025-06-12,Closed,1,33732.29
151,80,Checking,2020-10-07,2024-04-29,Closed,1,14341.55
152,81,Savings,2024-04-02,2025-06-17,Closed,3,18349.36
153,82,Savings,2023-05-17,2024-06-05,Closed,1,7762.16
154,83,Savings,2021-09-18,,Open,2,38252.03
155,83,Credit,2023-08-21,,Open,1,-5293.68
156,83,Savings,2024-11-18,2025-02-10,Closed,3,17673.12
157,84,Credit,2025-01-29,2025-04-16,Closed,1,8016.2
158,85,Savings,2021-02-28,2022-04-07,Closed,2,24459.96
159,85,Savings,2024-01-04,,Open,1,27776.12
160,85,Credit,2025-05-10,2025-07-12,Closed,3,6184.73
161,86,Credit,2023-07-11,2023-09-23,Closed,1,4084.48
162,86,Checking,2024-03-18,,Open,3,30215.3
163,87,Checking,2024-04-01,2024-10-08,Closed,1,19204.62
164,88,Savings,2024-07-19,2024-12-14,Closed,1,36323.02
165,89,Checking,2022-06-16,,Open,3,13005.33
166,89,Savings,2023-11-25,2024-05-29,Closed,3,848.83
167,90,Savings,2024-08-19,,Open,2,17670.98
168,90,Credit,2023-12-02,,Open,1,-9508.71
169,90,Savings,2021-02-16,,Open,2,47276.72
170,91,Savings,2022-09-09,2023-11-11,Closed,2,48604.66
171,92,Savings,2025-01-08,2025-03-21,Closed,2,21760.66
172,93,Savings,2025-02-25,2025-03-01,Closed,3,36403.21
173,93,Checking,2024-07-30,2025-07-05,Closed,2,481.66
174,94,Credit,2022-07-23,2023-09-25,Closed,3,5181.72
175,94,Savings,2020-11-19,2023-08-15,Closed,1,47697.67
176,94,Savings,2023-11-13,,Open,3,31092.2
177,95,Credit,2021-06-13,,Open,1,-8407.05
178,95,Savings,2025-02-01,,Open,1,47297.91
179,95,Credit,2020-12-15,,Open,2,4355.86
180,96,Savings,2021-10-08,2024-10-20,Closed,3,35505.38
181,96,Credit,2023-11-18,,Open,3,-4950.54
182,96,Credit,2020-10-08,2024-05-08,Closed,1,-9454.66
183,97,Savings,2023-11-20,2024-10-21,Closed,1,14636.73
184,97,Checking,2021-06-07,,Open,1,25371.9
185,98,Checking,2024-06-17,2025-06-10,Closed,2,13491.99
186,98,Checking,2021-11-30,,Open,2,15538.21
187,98,Credit,2021-12-25,2023-06-06,Closed,3,9546.55
188,99,Credit,2024-07-29,2025-01-04,Closed,1,8681.8
189,99,Checking,2021-11-23,2024-05-27,Closed,2,36069.39
190,99,Checking,2022-12-15,2025-02-04,Closed,2,2557.62
191,100,Savings,2021-07-01,2025-06-20,Closed,3,34036.27
192,100,Credit,2023-09-04,2024-05-29,Closed,1,9898.81
193,100,Credit,2021-10-03,2024-06-05,Closed,2,-2278.56
